taxa,worms_aphia_id,functional_group,phylum,class,order,family,genus,species,revised_taxa,LWRa,LWRb,LWRSource
Alloteuthis,138138,nekton,Mollusca,Cephalopoda,Myopsida,Loliginidae,Alloteuthis,NA,Alloteuthis,NA,NA,NA
Alosa alosa,126413,fish,Chordata,Actinopteri,Clupeiformes,Clupeidae,Alosa,Alosa alosa,Alosa alosa,0.0049,3.2,FishBase
Ammodytes tobianus,126752,fish,Chordata,Actinopteri,Perciformes,Ammodytidae,Ammodytes,Ammodytes tobianus,Ammodytes tobianus,0.0033,2.91,FishBase
Anguilla anguilla,126281,fish,Chordata,Actinopteri,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,Anguilla anguilla,9e-4,3.19,FishBase
Argentina sphyraena,126716,fish,Chordata,Actinopteri,Argentiniformes,Argentinidae,Argentina,Argentina sphyraena,Argentina sphyraena,0.0043,3.139,FishBase
Argyrosomus regius,127007,fish,Chordata,Actinopteri,Eupercaria incertae sedis,Sciaenidae,Argyrosomus,Argyrosomus regius,Argyrosomus regius,0.0151,2.86,FishBase
Arnoglossus imperialis,127124,fish,Chordata,Actinopteri,Pleuronectiformes,Bothidae,Arnoglossus,Arnoglossus imperialis,Arnoglossus imperialis,0.0049,3.17,FishBase
Arnoglossus laterna,127126,fish,Chordata,Actinopteri,Pleuronectiformes,Bothidae,Arnoglossus,Arnoglossus laterna,Arnoglossus laterna,0.0024,3.39,MS-S
Arnoglossus thori,127128,fish,Chordata,Actinopteri,Pleuronectiformes,Bothidae,Arnoglossus,Arnoglossus thori,Arnoglossus thori,0.0069,3.13,FishBase
Atherina presbyter,272030,fish,Chordata,Actinopteri,Atheriniformes,Atherinidae,Atherina,Atherina presbyter,Atherina presbyter,0.0045,3.18,FishBase
Balistes capriscus,154721,fish,Chordata,Actinopteri,Tetraodontiformes,Balistidae,Balistes,Balistes capriscus,Balistes capriscus,0.0106,3.121,FishBase
Belone belone,126375,fish,Chordata,Actinopteri,Beloniformes,Belonidae,Belone,Belone belone,Belone belone,7.9e-4,3.1835,FishBase
Blennius ocellaris,126761,fish,Chordata,Actinopteri,Blenniiformes,Blenniidae,Blennius,Blennius ocellaris,Blennius ocellaris,0.0214,2.82,FishBase
Boops boops,127047,fish,Chordata,Actinopteri,Eupercaria incertae sedis,Sparidae,Boops,Boops boops,Boops boops,0.01015,3.019,FishBase
Buenia jeffreysii,126872,fish,Chordata,Actinopteri,Gobiiformes,Gobiidae,Buenia,Buenia jeffreysii,Buenia jeffreysii,0.0146,2.6867,English
Buglossidium luteum,127153,fish,Chordata,Actinopteri,Pleuronectiformes,Soleidae,Buglossidium,Buglossidium luteum,Buglossidium luteum,0.00516,3.3357,FishBase
Callionymus lyra,126792,fish,Chordata,Actinopteri,Callionymiformes,Callionymidae,Callionymus,Callionymus lyra,Callionymus lyra,0.0219,2.59,FishBase
Callionymus maculatus,126793,fish,Chordata,Actinopteri,Callionymiformes,Callionymidae,Callionymus,Callionymus maculatus,Callionymus maculatus,0.0129,2.77,FishBase
Callionymus reticulatus,126795,fish,Chordata,Actinopteri,Callionymiformes,Callionymidae,Callionymus,Callionymus reticulatus,Callionymus reticulatus,0.0191,2.47,FishBase
Cancer pagurus,107276,macrobenthos,Arthropoda,Malacostraca,Decapoda,Cancridae,Cancer,Cancer pagurus,Cancer pagurus,NA,NA,NA
Capros aper,127419,fish,Chordata,Actinopteri,Acanthuriformes,Caproidae,Capros,Capros aper,Capros aper,0.0275,2.78,FishBase
Cepola macrophthalma,126835,fish,Chordata,Actinopteri,Eupercaria incertae sedis,Cepolidae,Cepola,Cepola macrophthalma,Cepola macrophthalma,0.0186,2.02,FishBase
